time,open,high,low,close,tick_volume,spread,real_volume
2025-03-11 01:36:00,1.08451,1.08477,1.08451,1.08474,58,0,0
2025-03-11 01:37:00,1.08474,1.08474,1.08457,1.08459,29,0,0
2025-03-11 01:38:00,1.08461,1.08461,1.08452,1.08454,36,0,0
2025-03-11 01:39:00,1.08453,1.08463,1.08453,1.08462,35,0,0
2025-03-11 01:40:00,1.08463,1.08473,1.08461,1.0847,30,0,0
2025-03-11 01:41:00,1.0847,1.08497,1.0847,1.08497,49,0,0
2025-03-11 01:42:00,1.08497,1.08504,1.08491,1.08503,45,0,0
2025-03-11 01:43:00,1.08505,1.08524,1.08505,1.08522,34,0,0
2025-03-11 01:44:00,1.0852,1.08547,1.08519,1.08537,60,0,0
2025-03-11 01:45:00,1.08537,1.08552,1.08535,1.08548,48,0,0
2025-03-11 01:46:00,1.08548,1.0856,1.08538,1.08538,45,0,0
2025-03-11 01:47:00,1.08536,1.08538,1.08526,1.08533,37,0,0
2025-03-11 01:48:00,1.08533,1.0854300000000001,1.08531,1.08536,45,0,0
2025-03-11 01:49:00,1.08536,1.0855299999999999,1.08531,1.08548,52,0,0
2025-03-11 01:50:00,1.08548,1.08557,1.08538,1.08539,47,0,0
2025-03-11 01:51:00,1.08539,1.08548,1.08539,1.08545,25,0,0
2025-03-11 01:52:00,1.08544,1.08556,1.08544,1.08545,39,0,0
2025-03-11 01:53:00,1.08548,1.0855,1.08541,1.0854300000000001,31,0,0
2025-03-11 01:54:00,1.08544,1.0855,1.08542,1.08549,29,0,0
2025-03-11 01:55:00,1.08549,1.08571,1.08549,1.08562,65,0,0
2025-03-11 01:56:00,1.08564,1.08572,1.08563,1.08567,37,0,0
2025-03-11 01:57:00,1.08566,1.08574,1.08562,1.08566,39,0,0
2025-03-11 01:58:00,1.08566,1.08589,1.08559,1.08584,51,0,0
2025-03-11 01:59:00,1.08581,1.08583,1.08567,1.08582,52,0,0
2025-03-11 02:00:00,1.08582,1.08582,1.08566,1.08566,48,0,0
2025-03-11 02:01:00,1.08568,1.08574,1.08558,1.08561,43,0,0
2025-03-11 02:02:00,1.08561,1.08577,1.08558,1.08571,50,0,0
2025-03-11 02:03:00,1.08569,1.08576,1.08563,1.08575,34,0,0
2025-03-11 02:04:00,1.08575,1.08578,1.0857,1.08576,24,0,0
2025-03-11 02:05:00,1.08576,1.08581,1.08563,1.08565,35,0,0
2025-03-11 02:06:00,1.08565,1.08573,1.08563,1.08572,23,0,0
2025-03-11 02:07:00,1.0857,1.08586,1.08568,1.08581,45,0,0
2025-03-11 02:08:00,1.08579,1.08602,1.08579,1.08593,51,0,0
2025-03-11 02:09:00,1.08589,1.08597,1.08585,1.08592,44,0,0
2025-03-11 02:10:00,1.08593,1.08597,1.0859,1.08596,36,0,0
2025-03-11 02:11:00,1.08594,1.08605,1.08594,1.08598,46,0,0
2025-03-11 02:12:00,1.08598,1.08601,1.08592,1.08594,32,0,0
2025-03-11 02:13:00,1.08597,1.0860400000000001,1.08594,1.08595,44,0,0
2025-03-11 02:14:00,1.08593,1.08597,1.08575,1.08595,53,0,0
2025-03-11 02:15:00,1.08596,1.08599,1.08576,1.08576,53,0,0
2025-03-11 02:16:00,1.08576,1.08579,1.0857,1.08574,36,0,0
2025-03-11 02:17:00,1.08575,1.08595,1.08573,1.08587,47,0,0
2025-03-11 02:18:00,1.08586,1.08586,1.08571,1.08578,41,0,0
2025-03-11 02:19:00,1.08577,1.0858,1.0857,1.08574,42,0,0
2025-03-11 02:20:00,1.08573,1.08586,1.08572,1.08581,43,0,0
2025-03-11 02:21:00,1.0858,1.08581,1.08552,1.08555,49,0,0
2025-03-11 02:22:00,1.08552,1.08568,1.08552,1.08562,38,0,0
2025-03-11 02:23:00,1.08561,1.08567,1.08556,1.08567,23,0,0
2025-03-11 02:24:00,1.08567,1.08575,1.08562,1.08574,23,0,0
2025-03-11 02:25:00,1.08571,1.08572,1.08563,1.08567,28,0,0
2025-03-11 02:26:00,1.08567,1.08569,1.0855,1.08557,35,0,0
2025-03-11 02:27:00,1.08559,1.08569,1.08554,1.08568,31,0,0
2025-03-11 02:28:00,1.0857,1.08571,1.08562,1.08569,40,0,0
2025-03-11 02:29:00,1.08569,1.08569,1.0855299999999999,1.08557,37,0,0
2025-03-11 02:30:00,1.08557,1.08563,1.08544,1.08544,46,0,0
2025-03-11 02:31:00,1.08546,1.0855,1.0854300000000001,1.08549,25,0,0
2025-03-11 02:32:00,1.08548,1.08548,1.08532,1.08534,43,0,0
2025-03-11 02:33:00,1.08535,1.0854,1.08531,1.08534,32,0,0
2025-03-11 02:34:00,1.08536,1.08538,1.08528,1.08531,38,0,0
2025-03-11 02:35:00,1.08532,1.0854,1.08532,1.08536,31,0,0
2025-03-11 02:36:00,1.08536,1.08538,1.08532,1.08537,30,0,0
2025-03-11 02:37:00,1.08539,1.08546,1.08536,1.0854300000000001,32,0,0
2025-03-11 02:38:00,1.08541,1.08557,1.08541,1.08545,45,0,0
2025-03-11 02:39:00,1.08545,1.08546,1.08538,1.08541,26,0,0
2025-03-11 02:40:00,1.08541,1.08549,1.08537,1.08542,34,0,0
